maHocSinh,maPhuongAn,diemToan,diemVan,diemNgoaiNgu,diemVatLy,diemHoaHoc,diemSinhHoc,diemTrungBinh,mucKhopSoThich,tiLeTaiChinh,khopDiaBan,diemChuanThamKhao,soLuotTuongTacTruoc,khoiTruong,vungMien,nhomNganh,phuongThuc,nhanPhuHop
1,ANH_N605528_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,7.31,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,3.79
1,ANH_N827538_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,0.6,1.0,1.0,8.063333333333334,0.0,QuanDoiCongAn,MienBac,LuatNgoaiGiao,DiemThiTHPT,2.07
1,ANH_N768284_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,7.833333333333333,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,2.77
1,ANH_N684209_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,8.16,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,2.62
1,ANH_N174137_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,6.876666666666666,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,4.06
1,ANH_N628706_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,8.23,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,3.89
1,ANH_N396286_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,8.049999999999999,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,4.5
1,ANH_N700928_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,6.23,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,2.24
1,ANH_N583852_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,1.0,1.0,1.0,7.326666666666667,0.0,QuanDoiCongAn,MienBac,CongNgheThongTin,DiemThiTHPT,3.18
1,ANH_N924441_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,0.6,1.0,1.0,8.473333333333334,0.0,QuanDoiCongAn,MienBac,LuatNgoaiGiao,DiemThiTHPT,2.08
1,ANH_N395477_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,0.6,1.0,1.0,7.683333333333334,0.0,QuanDoiCongAn,MienBac,LuatNgoaiGiao,DiemThiTHPT,2.61
1,ANH_N628255_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,0.6,1.0,1.0,8.209999999999999,0.0,QuanDoiCongAn,MienBac,LuatNgoaiGiao,DiemThiTHPT,3.41
1,ANH_N759133_DiemThiTHPT,8.6,7.5,8.2,8.4,7.8,6.5,7.833333333333333,0.6,1.0,1.0,7.676666666666667,0.0,QuanDoiCongAn,MienBac,LuatNgoaiGiao,DiemThiTHPT,2.07
